Country,BFA ,CIV ,GHA ,GMB ,NER ,NGA ,SEN ,TGO 
BFA ,1,,,,,,,
CIV ,-0.19,1,,,,,,
GHA ,-0.03,0.2,1,,,,,
GMB ,-0.15,0.02,0.01,1,,,,
NER ,-0.58,-0.2,0.01,0,1,,,
NGA ,-0.05,0.05,0.07,-0.02,-0.04,1,,
SEN ,-0.17,-0.09,-0.29,-0.06,-0.28,-0.08,1,
TGO ,-0.28,0.04,0.22,0.04,-0.27,0.17,-0.13,1
Country,BFA ,CIV ,GHA ,GMB ,NER ,NGA ,SEN ,TGO 
BFA ,1,,,,,,,
CIV ,-0.08,1,,,,,,
GHA ,-0.01,-0.04,1,,,,,
GMB ,-0.25,-0.09,0.03,1,,,,
NER ,-0.07,0.05,0.04,-0.18,1,,,
NGA ,-0.05,-0.08,-0.07,-0.02,0,1,,
SEN ,0.01,0.1,-0.07,-0.25,-0.11,0.01,1,
TGO ,-0.36,-0.32,-0.05,0.08,-0.34,-0.16,-0.47,1
